t,pos,vel,acc,robot
1.87,0.094607966,0.31021502,0.020277716,-0.124324974
1.88,0.097710012,0.310194233,-0.00207871,-0.125069258
1.89,0.100810709,0.309945111,-0.024912157,-0.125830752
1.9,0.103907749,0.309462967,-0.048214459,-0.126609286
1.91,0.10699878,0.308743197,-0.071976932,-0.127404677
1.92,0.110081403,0.307781293,-0.096190377,-0.128216723
1.93,0.113153173,0.306572843,-0.120845082,-0.129045205
1.94,0.116211605,0.305113534,-0.145930832,-0.12988989
1.95,0.119254169,0.303399165,-0.171436918,-0.130750526
1.96,0.122278293,0.301425644,-0.197352137,-0.131626844
1.97,0.125281366,0.299188996,-0.223664812,-0.132518559
1.98,0.128260738,0.296685368,-0.250362793,-0.133425368
1.99,0.13121372,0.293911033,-0.277433471,-0.134346951
2,0.134137587,0.290862395,-0.30486379,-0.135282969
2.01,0.137029579,0.287535993,-0.332640259,-0.136233067
2.02,0.139886901,0.283928503,-0.360748963,-0.137196871
2.03,0.142706727,0.280036747,-0.389175578,-0.138173991
2.04,0.1454862,0.275857693,-0.417905386,-0.139164016
2.05,0.14822243,0.27138846,-0.446923284,-0.140166521
2.06,0.150912504,0.266626322,-0.476213807,-0.141181058
2.07,0.15355348,0.261568711,-0.505761137,-0.142207166
2.08,0.156142389,0.25621322,-0.53554912,-0.143244361
2.09,0.158676243,0.250557607,-0.565561283,-0.144292146
2.1,0.16115203,0.244599798,-0.595780847,-0.145350001
2.11,0.163566719,0.238337891,-0.626190744,-0.14641739
2.12,0.165917259,0.231770155,-0.656773636,-0.147493759
2.13,0.168200585,0.224895035,-0.687511922,-0.148578536
2.14,0.170413616,0.217711158,-0.718387762,-0.14967113
2.15,0.172553258,0.210217327,-0.749383085,-0.150770933
2.16,0.174616408,0.202412531,-0.780479608,-0.151877317
2.17,0.17659995,0.194295942,-0.811658845,-0.152989638
2.18,0.178500764,0.185866921,-0.842902125,-0.154107234
2.19,0.180315724,0.177125015,-0.8741906,-0.155229424
2.2,0.182041699,0.168069963,-0.905505257,-0.156355511
2.21,0.183675557,0.158701693,-0.936826933,-0.157484779
2.22,0.185214167,0.14902033,-0.968136316,-0.158616496
2.23,0.1866544,0.139026191,-0.999413961,-0.15974991
2.24,0.18799313,0.128719788,-1.030640291,-0.160884255
2.25,0.189227238,0.118101832,-1.061795609,-0.162018747
2.26,0.190353613,0.107173231,-1.092860098,-0.163152584
2.27,0.191369155,0.095935092,-1.123813822,-0.16428495
2.28,0.192270774,0.084388725,-1.154636735,-0.165415009
2.29,0.193055396,0.072535638,-1.185308675,-0.166541913
2.3,0.193719962,0.060377545,-1.215809364,-0.167664794
2.31,0.194261431,0.047916361,-1.246118406,-0.16878277
2.32,0.194676784,0.035154208,-1.276215283,-0.169894945
2.33,0.194963022,0.022093414,-1.306079345,-0.171000406
2.34,0.195117172,0.008736516,-1.335689807,-0.172098226
2.35,0.195136286,-0.004913741,-1.365025738,-0.173187461
2.36,0.195017445,-0.018854402,-1.394066047,-0.174267155
2.37,0.194757761,-0.033082296,-1.422789476,-0.175336338
2.38,0.19435438,-0.047594042,-1.451174581,-0.176394025
2.39,0.193804479,-0.062386039,-1.479199718,-0.177439219
2.4,0.193105277,-0.07745447,-1.506843029,-0.178470907
2.41,0.192254028,-0.092795294,-1.534082419,-0.179488068
2.42,0.19124803,-0.108404249,-1.560895539,-0.180489664
2.43,0.190084625,-0.124276847,-1.587259765,-0.181474648
2.44,0.188761199,-0.140408369,-1.613152174,-0.18244196
2.45,0.187275188,-0.156793864,-1.638549527,-0.18339053
2.46,0.185624077,-0.173428146,-1.663428237,-0.184319276
2.47,0.183805408,-0.19030579,-1.687764352,-0.185227107
2.48,0.181816773,-0.207421125,-1.711533525,-0.186112921
2.49,0.179655826,-0.224768235,-1.734710991,-0.186975608
2.5,0.17732028,-0.24234095,-1.757271543,-0.187814049
2.51,0.174807911,-0.260132845,-1.779189503,-0.188627115
2.52,0.172116561,-0.278137232,-1.800438697,-0.18941367
2.53,0.169244139,-0.296347157,-1.820992435,-0.190172573
2.54,0.166188626,-0.314755392,-1.840823479,-0.190902674
2.55,0.162948077,-0.333354432,-1.859904026,-0.191602816
2.56,0.159520623,-0.352136489,-1.878205682,-0.19227184
2.57,0.155904473,-0.371093483,-1.895699441,-0.192908579
2.58,0.15209792,-0.39021704,-1.912355667,-0.193511862
2.59,0.148099343,-0.40949848,-1.928144078,-0.194080518
2.6,0.143907206,-0.428928818,-1.943033724,-0.194613368
2.61,0.139520068,-0.448498748,-1.956992983,-0.195109234
2.62,0.134936581,-0.468198643,-1.969989543,-0.195566936
2.63,0.130155495,-0.488018547,-1.981990402,-0.195985294
2.64,0.125175662,-0.507948166,-1.992961857,-0.196363125
2.65,0.119996037,-0.527976861,-2.00286951,-0.196699251
2.66,0.114615684,-0.548093643,-2.011678272,-0.196992494
2.67,0.10903378,-0.568287167,-2.019352369,-0.197241677
2.68,0.103249616,-0.588545721,-2.025855355,-0.197445628
2.69,0.097262601,-0.608857222,-2.031150135,-0.19760318
2.7,0.091072269,-0.629209212,-2.035198987,-0.19771317
2.71,0.084678279,-0.649588848,-2.037963589,-0.19777444
2.72,0.07808042,-0.669982898,-2.039405063,-0.197785842
2.73,0.071278617,-0.690377738,-2.039484007,-0.197746234
2.74,0.064272931,-0.710759344,-2.038160555,-0.197654484
2.75,0.057063568,-0.731113288,-2.035394426,-0.19750947
2.76,0.049650878,-0.751424738,-2.031144995,-0.197310081
2.77,0.042035362,-0.771678452,-2.025371358,-0.197055219
2.78,0.034217676,-0.791858776,-2.018032417,-0.196743798
2.79,0.026198634,-0.811949646,-2.009086967,-0.196374749
2.8,0.017979213,-0.831934584,-1.998493791,-0.195947016
2.81,0.009560556,-0.851796701,-1.986211767,-0.195459563
2.82,0.000943979,-0.871518701,-1.972199983,-0.19491137
2.83,-0.007869029,-0.89108288,-1.956417856,-0.194301436
2.84,-0.016876799,-0.910471132,-1.938825268,-0.193628783
2.85,-0.026077479,-0.929664959,-1.919382706,-0.192892452
2.86,-0.035469031,-0.948645473,-1.898051408,-0.192091511
2.87,-0.045049226,-0.967393409,-1.874793525,-0.19122505
2.88,-0.054815639,-0.985889132,-1.849572285,-0.190292184
2.89,-0.064765647,-1.004112653,-1.82235217,-0.189292058
2.9,-0.074896429,-1.022043644,-1.793099096,-0.188223843
2.91,-0.085204954,-1.03966145,-1.761780605,-0.187086743
2.92,-0.095687987,-1.056945111,-1.728366059,-0.18587999
